oid,filter,mjd,mag,magerr,clrcoeff
771215300014928,zr,58358.41012,14.616166,0.010251366,0.074508734
1807107300002377,zg,58360.39105,15.023026,0.011934865,-0.009022775
771215300014928,zr,58361.3043,14.598728,0.010241792,0.07799173
771115300032928,zg,58361.39241,15.023516,0.010119077,-0.037899766
1807107300002377,zg,58363.33194,15.030256,0.011937614,-0.05439333
771115300032928,zg,58364.26352,15.016256,0.010112469,-0.034362752
771215300014928,zr,58364.30952,14.585103,0.010234441,0.07829137
771215300014928,zr,58367.34648,14.607572,0.010246624,0.07259831
1807207300003080,zr,58368.32375,14.603561,0.010698222,0.08300708
771215300014928,zr,58370.3016,14.624002,0.010255728,0.071258314
771115300032928,zg,58370.34699,15.013366,0.010109848,-0.042786323
1807107300002377,zg,58371.37427,15.0208645,0.011934054,-0.06854265
1807207300003080,zr,58372.33323,14.589514,0.010691025,0.08441409
771215300014928,zr,58373.29158,14.606091,0.010245811,0.075817935
771115300032928,zg,58373.37318,15.023505,0.0101190675,-0.061395053
771115300032928,zg,58375.38588,15.019294,0.010115229,-0.055178642
771115300032928,zg,58376.30508,15.026286,0.010121611,-0.032127526
771215300014928,zr,58376.35028,14.5989,0.010241886,0.07754782
1807207300003080,zr,58378.26845,14.613343,0.010703295,0.08298636
1807207300003080,zr,58379.27135,14.609314,0.010701199,0.07949399
771215300014928,zr,58379.30553,14.608814,0.010247307,0.078037955
771115300032928,zg,58379.3439,15.032074,0.010126923,-0.04034408
1807207300003080,zr,58380.29297,14.58206,0.010687251,0.08093685
1807107300002377,zg,58381.24918,15.032201,0.011938361,-0.06501163
771115300032928,zg,58382.24836,15.025625,0.010121006,-0.0811994
771215300014928,zr,58382.35047,14.617228,0.010251954,0.07688319
1807107300002377,zg,58383.25122,15.010124,0.0119300885,-0.06274909
1807207300003080,zr,58383.32871,14.599835,0.010696303,0.081283376
1807107300002377,zg,58384.28649,15.0210905,0.011934138,-0.0606862
771215300014928,zr,58385.26948,14.655853,0.010273856,0.077102885
1807207300003080,zr,58385.28878,14.660754,0.010728626,0.08400102
771115300032928,zg,58385.35283,15.062223,0.010155057,-0.07679115
1807207300003080,zr,58386.26708,14.694142,0.010747227,0.08208314
1807107300002377,zg,58387.27105,15.041348,0.011941931,-0.055819783
771215300014928,zr,58388.24839,14.608552,0.010247163,0.076090015
771115300032928,zg,58388.30851,15.01563,0.010111901,-0.064201675
1807207300003080,zr,58389.28196,14.665948,0.010731478,0.077196024
1807107300002377,zg,58389.36625,15.028323,0.011936873,-0.07181043
771215300014928,zr,58400.2183,14.621251,0.010254192,0.07274821
771115300032928,zg,58400.27818,15.023812,0.010119348,-0.054108664
771115300032928,zg,58425.1805,15.021351,0.010117102,-0.059721164
1807207300003080,zr,58425.26421,14.77044,0.01079221,0.07820223
771215300014928,zr,58428.12459,14.624608,0.010256067,0.08332512
771115300032928,zg,58428.18195,15.015242,0.010111549,-0.03545778
1807107300002377,zg,58430.33668,15.35086,0.012117239,-0.04789302
771215300014928,zr,58431.15403,14.625302,0.010256455,0.08190285
1807207300003080,zr,58431.2072,14.627727,0.010710849,0.08761592
771115300032928,zg,58431.226,15.014949,0.010111283,-0.039945915
771115300032928,zg,58434.16015,15.032665,0.010127469,-0.041994967
771215300014928,zr,58434.18422,14.620416,0.0102537265,0.080700256
1807107300002377,zg,58435.19038,15.033015,0.011938675,-0.059744865
1807107300002377,zg,58436.19057,15.025238,0.0119357,-0.054830756
771115300032928,zg,58437.2201,15.025944,0.010121297,-0.046719804
771215300014928,zr,58437.27707,14.629681,0.010258913,0.08072254
771215300014928,zr,58439.21605,14.565204,0.010223905,0.080244765
771215300014928,zr,58439.2165,14.602932,0.010244082,0.07568892
771215300014928,zr,58439.2256,14.594873,0.010239701,0.08019634
771215300014928,zr,58439.22605,14.602508,0.010243851,0.08109513
771215300014928,zr,58439.23553,14.613229,0.0102497395,0.07880284
1807207300003080,zr,58439.24867,14.549197,0.010670952,0.08104557
771215300014928,zr,58441.2127,14.617807,0.0102522755,0.07619498
771215300014928,zr,58441.21315,14.603377,0.010244327,0.07564859
771215300014928,zr,58441.22245,14.595339,0.010239953,0.075683996
771215300014928,zr,58441.22291,14.631816,0.010260115,0.07355074
771215300014928,zr,58441.23176,14.609055,0.010247438,0.07930634
1807207300003080,zr,58443.09451,14.5877075,0.010690108,0.07871373
1807107300002377,zg,58443.25057,15.049781,0.011945295,-0.058101583
771215300014928,zr,58447.32716,14.6162405,0.010251407,0.08416281
771215300014928,zr,58449.22735,14.607369,0.010246513,0.077197224
771215300014928,zr,58449.22918,14.604943,0.010245183,0.08127467
771215300014928,zr,58449.23352,14.609085,0.010247455,0.081095956
771215300014928,zr,58449.2351,14.615095,0.010250773,0.0758556
771215300014928,zr,58449.23615,14.610526,0.010248248,0.073285736
771215300014928,zr,58450.23811,14.602605,0.010243905,0.076604985
771215300014928,zr,58450.23856,14.616615,0.010251614,0.06570844
771215300014928,zr,58450.23902,14.62041,0.010253724,0.07749777
771215300014928,zr,58451.21801,14.605739,0.010245618,0.07757265
771215300014928,zr,58451.22118,14.620386,0.01025371,0.075130574
771215300014928,zr,58451.23097,14.60483,0.010245121,0.073720574
771215300014928,zr,58451.23415,14.579463,0.010231431,0.076372795
771215300014928,zr,58451.23871,14.606504,0.010246038,0.07917117
771215300014928,zr,58461.09236,14.624989,0.01025628,0.06663571
771215300014928,zr,58461.09332,14.602042,0.0102435965,0.06448514
771215300014928,zr,58461.09427,14.613828,0.01025007,0.06841014
771215300014928,zr,58461.09522,14.606516,0.010246045,0.06851407
771215300014928,zr,58461.09617,14.602439,0.010243814,0.069134295
771215300014928,zr,58461.09711,14.6115675,0.010248822,0.06733617
771215300014928,zr,58461.09806,14.617848,0.010252299,0.06815175
771215300014928,zr,58461.09901,14.592275,0.010238295,0.07031007
771215300014928,zr,58461.09996,14.616502,0.010251551,0.06914448
771215300014928,zr,58461.10091,14.609949,0.010247931,0.067074746
771215300014928,zr,58461.10186,14.615436,0.01025096,0.0679316
771215300014928,zr,58461.10281,14.620388,0.010253711,0.066975534
771215300014928,zr,58461.10376,14.614513,0.01025045,0.06892581
771215300014928,zr,58461.10471,14.606443,0.010246005,0.06617853
771215300014928,zr,58461.10566,14.60885,0.010247325,0.06903096
771215300014928,zr,58461.1066,14.6054735,0.010245473,0.06770198
771215300014928,zr,58461.10757,14.610327,0.0102481395,0.06795454
771215300014928,zr,58461.1485,14.61027,0.010248108,0.07051073
771215300014928,zr,58461.14945,14.607683,0.010246686,0.071257554
771215300014928,zr,58461.1504,14.609962,0.010247938,0.073237926
771215300014928,zr,58461.15135,14.602895,0.010244063,0.07270896
771215300014928,zr,58461.1523,14.607895,0.010246801,0.0740568
771215300014928,zr,58461.15325,14.614799,0.0102506075,0.073246926
771215300014928,zr,58461.15419,14.607396,0.010246528,0.072908126
771215300014928,zr,58461.15514,14.61073,0.010248361,0.0732058
771215300014928,zr,58461.15609,14.60912,0.010247475,0.070303366
771215300014928,zr,58461.15705,14.608152,0.010246943,0.07291168
771215300014928,zr,58461.158,14.612104,0.010249118,0.07036659
771215300014928,zr,58461.15895,14.604365,0.010244867,0.07200555
771215300014928,zr,58461.1599,14.612169,0.010249155,0.07151442
771215300014928,zr,58461.16085,14.604733,0.010245069,0.0729621
771215300014928,zr,58461.1618,14.603616,0.010244457,0.073173545
771215300014928,zr,58461.16275,14.598554,0.010241698,0.07148105
771215300014928,zr,58461.1637,14.604171,0.010244761,0.07396771
771215300014928,zr,58461.16465,14.605991,0.010245757,0.07319975
771215300014928,zr,58461.16559,14.612566,0.010249374,0.071159
771215300014928,zr,58461.16654,14.614291,0.010250327,0.071472116
771215300014928,zr,58461.16749,14.608619,0.0102472,0.06926261
771215300014928,zr,58461.17129,14.614363,0.010250367,0.07187278
771215300014928,zr,58461.17224,14.618774,0.010252814,0.07064359
771215300014928,zr,58461.17319,14.61207,0.0102491,0.06996667
771215300014928,zr,58461.17415,14.622281,0.010254766,0.06831946
771215300014928,zr,58461.1751,14.600541,0.010242779,0.07227716
771215300014928,zr,58461.17604,14.613663,0.010249979,0.071519725
771215300014928,zr,58461.17699,14.605818,0.010245662,0.07124714
771215300014928,zr,58461.17794,14.604432,0.010244903,0.07132142
771215300014928,zr,58461.17889,14.606435,0.010246,0.07244444
771215300014928,zr,58461.17984,14.612408,0.010249287,0.070140876
771215300014928,zr,58461.18079,14.609256,0.01024755,0.06983318
771215300014928,zr,58461.18174,14.611695,0.010248893,0.0689452
771215300014928,zr,58461.18269,14.610382,0.010248169,0.07230714
771215300014928,zr,58461.18364,14.612309,0.010249233,0.07188454
771215300014928,zr,58461.18459,14.613829,0.01025007,0.07176856
771215300014928,zr,58461.18554,14.614873,0.0102506485,0.06849984
771215300014928,zr,58461.18648,14.597008,0.010240858,0.0709141
771215300014928,zr,58461.18743,14.611518,0.010248796,0.06917747
771215300014928,zr,58461.18838,14.606412,0.010245987,0.070545495
771215300014928,zr,58461.18934,14.611642,0.010248863,0.06792547
771215300014928,zr,58461.19029,14.6113825,0.010248721,0.06995237
771215300014928,zr,58461.19124,14.607928,0.01024682,0.06867625
