oid,filter,mjd,mag,magerr,clrcoeff
804111400018325,zg,58228.48551,15.927291,0.013402298,-0.057750225
804111400018325,zg,58235.50043,15.967743,0.013508965,-0.051481765
804111400018325,zg,58244.44909,15.93125,0.013412594,-0.08365816
804211400023197,zr,58244.48368,15.484246,0.0112037575,0.10156564
804211400023197,zr,58246.4476,15.473005,0.0111873355,0.101454765
804111400018325,zg,58246.48352,15.918093,0.013378495,-0.055964418
804211400023197,zr,58247.46608,15.582805,0.01135547,0.097361445
804111400018325,zg,58247.48499,15.943565,0.0134448195,-0.0574153
804211400023197,zr,58249.45004,16.81787,0.01509138,0.106804915
804211400023197,zr,58249.46573,16.802063,0.015011848,0.11069127
804111400018325,zg,58254.44432,15.919971,0.013383344,-0.081717424
804211400023197,zr,58254.487,15.495376,0.011220192,0.095378816
804111400018325,zg,58255.42785,15.9424515,0.013441893,-0.0498453
804211400023197,zr,58255.46475,15.578227,0.011348107,0.08564843
804211400023197,zr,58256.4237,15.497447,0.01122327,0.06832402
804211400023197,zr,58256.46596,15.489311,0.011211216,0.073360346
804211400023197,zr,58257.4218,16.549938,0.013887394,0.09360209
804211400023197,zr,58257.46841,16.49767,0.013685138,0.09522291
804211400023197,zr,58258.45367,15.507454,0.011238223,0.09481728
804111400018325,zg,58262.47541,15.906605,0.013348998,-0.018652096
804211400023197,zr,58263.3774,15.54028,0.011288281,0.09880119
804111400018325,zg,58263.46323,15.930428,0.013410451,-0.030608242
804211400023197,zr,58266.38243,15.47597,0.011191649,0.09112729
804111400018325,zg,58267.46606,15.938534,0.013431617,-0.021358922
804211400023197,zr,58268.45151,15.496602,0.011222013,0.09076956
804111400018325,zg,58268.46667,15.898673,0.0133287795,-0.050188806
804211400023197,zr,58269.42504,16.863634,0.015328251,0.07166922
804111400018325,zg,58269.47187,16.425781,0.014981221,-0.049199015
804211400023197,zr,58270.42589,15.497202,0.0112229055,0.087187484
804111400018325,zg,58270.46884,15.931234,0.013412554,-0.0330484
804211400023197,zr,58271.4478,15.56651,0.011329406,0.09615603
804111400018325,zg,58272.43135,15.900069,0.01333233,-0.051286954
804211400023197,zr,58272.46346,15.4782,0.0111949025,0.09307503
804211400023197,zr,58273.42495,16.737665,0.01469946,0.08622466
804111400018325,zg,58273.46386,16.460217,0.015114964,-0.07078076
804111400018325,zg,58274.44478,15.943025,0.0134434,-0.094270006
804211400023197,zr,58274.47122,15.5116005,0.011244462,0.090963766
804111400018325,zg,58276.40649,15.930266,0.013410034,-0.08704047
804211400023197,zr,58276.46657,15.51424,0.011248445,0.09034956
804211400023197,zr,58277.43096,16.49103,0.0136601385,0.099663876
804111400018325,zg,58277.44764,16.627043,0.015818302,-0.089182705
804111400018325,zg,58278.4339,15.921655,0.013387693,-0.07596406
804211400023197,zr,58278.46926,15.501286,0.011228989,0.08959153
804211400023197,zr,58279.42931,15.581439,0.011353272,0.090242736
804111400018325,zg,58279.45479,15.944751,0.0134479385,-0.07709782
804211400023197,zr,58280.37018,15.481427,0.011199623,0.077245355
804111400018325,zg,58280.45347,15.904235,0.013342944,-0.06138398
804111400018325,zg,58281.43022,16.856255,0.016955322,-0.08182974
804211400023197,zr,58281.4696,15.740372,0.0116292285,0.09494128
804111400018325,zg,58282.42625,15.911435,0.013361369,-0.056753263
804211400023197,zr,58282.46869,15.502616,0.011230977,0.10254861
804211400023197,zr,58283.3867,15.573812,0.011341036,0.088790216
804111400018325,zg,58283.4523,15.948966,0.013459047,-0.055208124
804211400023197,zr,58285.40714,16.681297,0.014440761,0.09003176
804111400018325,zg,58285.4494,16.335333,0.014647005,-0.08204868
804111400018325,zg,58286.43081,15.936523,0.013426357,-0.11120942
804211400023197,zr,58286.47551,15.492216,0.011215509,0.086712755
804111400018325,zg,58287.43196,15.937927,0.013430031,-0.086658426
804211400023197,zr,58287.46535,15.511704,0.011244617,0.08613488
804111400018325,zg,58288.43048,15.916138,0.013373457,-0.043634918
804211400023197,zr,58288.4729,15.482136,0.011200661,0.103681855
804111400018325,zg,58289.42196,16.706459,0.016188225,-0.060785837
804211400023197,zr,58289.47703,15.553658,0.011309128,0.09968382
804111400018325,zg,58290.45297,15.920134,0.013383762,-0.0617144
804211400023197,zr,58290.47597,15.50636,0.011236583,0.09212102
804111400018325,zg,58291.45423,15.927491,0.013402818,-0.06061792
804211400023197,zr,58291.47152,15.495285,0.011220057,0.09691197
804211400023197,zr,58292.47054,15.48213,0.011200652,0.09543217
804111400018325,zg,58293.45316,16.092163,0.013858425,-0.08175335
804211400023197,zr,58293.47261,15.538199,0.011285062,0.08547649
804111400018325,zg,58294.45689,15.89532,0.013320269,-0.07391182
804211400023197,zr,58294.47223,15.497758,0.011223733,0.09407806
804211400023197,zr,58296.36503,15.47905,0.011196144,0.084883645
804111400018325,zg,58296.46709,15.924053,0.013393901,-0.06608223
804111400018325,zg,58297.46992,15.945178,0.013449063,-0.05770359
804211400023197,zr,58298.44623,15.513818,0.011247807,0.105297916
804111400018325,zg,58298.47144,15.91576,0.013372485,-0.04410437
804211400023197,zr,58299.41434,15.542293,0.0112914,0.09725228
804111400018325,zg,58299.46909,15.91342,0.013366465,-0.03848204
804211400023197,zr,58300.42831,15.4843645,0.0112039335,0.09536124
804211400023197,zr,58301.44975,15.608587,0.011397538,0.096071325
804111400018325,zg,58301.47023,15.927856,0.013403769,-0.048597746
804211400023197,zr,58302.40662,15.507255,0.011237924,0.10796451
804111400018325,zg,58302.45141,15.917186,0.013376156,-0.03308041
804111400018325,zg,58303.4444,15.945385,0.013449608,-0.0965597
804211400023197,zr,58303.47814,15.497021,0.011222635,0.093696855
804211400023197,zr,58304.38319,15.491161,0.011213949,0.086173885
804111400018325,zg,58304.44578,15.905036,0.013344988,-0.09560925
804211400023197,zr,58305.40361,16.02281,0.012233386,0.09213847
804111400018325,zg,58305.47228,15.929522,0.013408095,-0.0634683
804211400023197,zr,58307.41064,15.540651,0.011288854,0.09295112
804111400018325,zg,58307.44999,15.916541,0.013374497,-0.05955203
804111400018325,zg,58310.36591,15.911753,0.013362185,-0.054083683
804211400023197,zr,58310.42579,15.522306,0.011260681,0.102103606
804211400023197,zr,58312.428,15.491778,0.011214862,0.090975955
804111400018325,zg,58312.4658,15.900488,0.013333395,-0.06178271
804111400018325,zg,58316.40909,15.8931675,0.013314816,-0.03836627
804211400023197,zr,58316.44856,15.495015,0.011219657,0.08843641
804111400018325,zg,58318.42589,15.885905,0.013296485,-0.016461141
804111400018325,zg,58319.40761,15.901534,0.013336059,-0.034702353
804211400023197,zr,58319.45782,15.494725,0.011219228,0.090974346
804211400023197,zr,58320.38771,15.445368,0.011147686,0.09476835
804111400018325,zg,58320.45818,15.912548,0.0133642275,-0.037483204
804111400018325,zg,58321.43421,15.918939,0.013380678,-0.042213485
804211400023197,zr,58321.4677,15.526578,0.011267197,0.09397888
804211400023197,zr,58322.40516,15.51811,0.011254305,0.094953835
804111400018325,zg,58322.44925,15.913227,0.013365972,-0.031916797
804111400018325,zg,58323.45582,15.885389,0.013295189,-0.028755996
804211400023197,zr,58323.47757,15.497922,0.0112239765,0.09271788
804111400018325,zg,58324.45463,15.896975,0.0133244665,-0.017467946
804211400023197,zr,58324.47414,15.50496,0.011234483,0.091599524
804111400018325,zg,58325.40226,16.00652,0.013614332,-0.013109443
804211400023197,zr,58325.47389,15.505784,0.01123572,0.09079035
1837202300010758,zr,58326.39591,15.519956,0.011217688,0.07637452
1837202300010758,zr,58326.39638,15.518126,0.011215591,0.07920906
804211400023197,zr,58326.41436,15.511925,0.011244952,0.088695906
804111400018325,zg,58326.48407,15.938891,0.013432553,-0.059579544
1837202300010758,zr,58327.37055,15.553911,0.011257489,0.07103484
1837202300010758,zr,58327.37101,15.544688,0.011246507,0.07504909
804211400023197,zr,58327.40369,15.513478,0.011247294,0.089208886
804111400018325,zg,58327.47455,15.906334,0.013348305,-0.044242684
1837202300010758,zr,58328.36916,15.4862995,0.011179924,0.080262065
1837202300010758,zr,58328.36961,15.497276,0.011192059,0.07966364
804211400023197,zr,58328.40671,15.488849,0.011210533,0.09386444
804211400023197,zr,58329.36359,15.986438,0.012146366,0.091662884
1837102300007536,zg,58329.43842,15.933115,0.0151547985,-0.0543203
1837102300007536,zg,58329.43887,15.923704,0.015136166,-0.053261463
1837202300010758,zr,58330.38834,15.5042925,0.0111999065,0.06262451
1837202300010758,zr,58330.3888,15.511628,0.01120819,0.06447883
804211400023197,zr,58330.40272,15.495994,0.01122111,0.09224868
804111400018325,zg,58330.47452,15.918268,0.013378947,-0.035769656
1837202300010758,zr,58331.38689,15.5366955,0.011237092,0.058519267
1837202300010758,zr,58331.38735,15.526142,0.01122481,0.06559644
1837202300010758,zr,58332.38092,15.500336,0.0111954715,0.064652644
1837202300010758,zr,58332.38137,15.502794,0.011198226,0.06339482
804111400018325,zg,58332.45005,15.888817,0.013303824,-0.033466153
804211400023197,zr,58333.33881,16.269419,0.0129077565,0.09576585
804111400018325,zg,58333.44626,15.906754,0.013349377,-0.021240132
804111400018325,zg,58334.32079,15.887207,0.013299764,-0.028333519
804211400023197,zr,58334.36246,15.494239,0.011218506,0.09562497
1837202300010758,zr,58334.40278,15.516691,0.011213952,0.072839715
1837202300010758,zr,58334.40324,15.528004,0.011226964,0.073052
804211400023197,zr,58335.35794,15.517662,0.011253625,0.094131775
1837202300010758,zr,58335.38132,15.505425,0.011201181,0.064805664
1837202300010758,zr,58335.38178,15.518953,0.01121654,0.068152696
804111400018325,zg,58336.32162,15.891151,0.013309718,-0.03793115
804211400023197,zr,58336.34659,15.489378,0.011211313,0.09697682
1837202300010758,zr,58336.37283,15.496542,0.011191241,0.0738815
1837202300010758,zr,58336.37328,15.51144,0.0112079745,0.06881019
804211400023197,zr,58337.3457,16.00468,0.0121896425,0.09667065
804111400018325,zg,58337.39181,15.946893,0.013453578,-0.005696511
804211400023197,zr,58338.34405,15.5126095,0.011245984,0.09557966
804111400018325,zg,58338.37812,15.887166,0.013299662,-0.019024272
1837102300007536,zg,58338.39533,15.931689,0.015151964,-0.07995824
804211400023197,zr,58342.34343,15.521721,0.011259789,0.0900074
804211400023197,zr,58343.36407,15.513323,0.011247059,0.09159447
804111400018325,zg,58343.38518,15.894546,0.013318305,-0.02862193
804111400018325,zg,58344.36363,15.895885,0.013321701,-0.045899253
1837102300007536,zg,58344.39232,15.928314,0.015145272,-0.083452575
1837202300010758,zr,58345.35412,15.714963,0.011471242,0.06613664
804211400023197,zr,58345.36113,15.64089,0.011451705,0.092634894
804111400018325,zg,58346.34533,15.891208,0.013309859,-0.03825412
804111400018325,zg,58347.34708,15.923168,0.01339161,-0.037287265
804211400023197,zr,58347.40943,15.483369,0.0112024695,0.09315496
804111400018325,zg,58348.36422,15.900719,0.013333984,-0.022794904
804211400023197,zr,58349.32672,15.978771,0.012128398,0.09386411
804111400018325,zg,58349.37742,15.890403,0.013307826,-0.031002332
804211400023197,zr,58351.38323,15.504708,0.011234106,0.09298235
804211400023197,zr,58352.32473,15.476959,0.011193092,0.09007193
804111400018325,zg,58352.39097,15.885463,0.013295372,-0.054646697
1837202300010758,zr,58353.31497,16.046303,0.01206382,0.07265107
1837202300010758,zr,58354.28967,15.517357,0.011214714,0.07613567
804211400023197,zr,58354.3193,15.517658,0.011253618,0.09849221
1837202300010758,zr,58355.31026,15.55426,0.011257906,0.07758496
804211400023197,zr,58355.34069,15.461878,0.011171246,0.091062255
1837202300010758,zr,58356.30536,15.496734,0.011191456,0.08141425
804211400023197,zr,58357.22231,16.18129,0.012648866,0.09816232
1837202300010758,zr,58357.32539,15.786494,0.011580528,0.076440245
1837202300010758,zr,58359.35241,15.518621,0.011216158,0.07074597
1837202300010758,zr,58360.31293,15.4866905,0.011180353,0.08201615
804211400023197,zr,58360.33855,15.468363,0.011180601,0.10647283
1837102300007536,zg,58360.43084,15.91517,0.015119433,-0.027922096
804211400023197,zr,58361.30337,15.982794,0.012137809,0.091944106
1837202300010758,zr,58361.32474,15.716574,0.011473601,0.07006497
804111400018325,zg,58361.39004,15.916618,0.013374696,-0.017607613
804111400018325,zg,58362.26325,15.894139,0.013317278,-0.026141243
804211400023197,zr,58362.32243,15.509425,0.011241186,0.0947794
1837202300010758,zr,58362.35529,15.524282,0.011222662,0.056256156
804211400023197,zr,58363.2842,15.545404,0.011296235,0.09230392
804111400018325,zg,58363.31077,15.894043,0.013317035,-0.028968832
1837102300007536,zg,58363.33193,15.937918,0.01516438,-0.06947689
804111400018325,zg,58364.28518,15.891474,0.013310534,-0.032346275
804211400023197,zr,58364.30861,15.470867,0.0111842295,0.09693288
1837202300010758,zr,58364.35722,15.490686,0.011184753,0.06531398
804111400018325,zg,58365.30304,16.318655,0.014587965,-0.052979365
804211400023197,zr,58365.34634,15.530531,0.011273252,0.09367903
1837202300010758,zr,58365.37686,15.535122,0.011235251,0.06849263
804211400023197,zr,58366.33644,15.493719,0.011217737,0.092899285
804111400018325,zg,58367.31568,15.911456,0.013361424,-0.04002336
804211400023197,zr,58367.33658,15.504045,0.011233112,0.094785385
804211400023197,zr,58368.3043,15.490156,0.0112124635,0.09373392
1837202300010758,zr,58368.32376,15.488257,0.011182074,0.072620586
804111400018325,zg,58369.30588,16.14899,0.014029517,-0.05265914
804211400023197,zr,58370.30163,15.499443,0.011226241,0.101986796
804111400018325,zg,58370.34416,15.908359,0.013353487,-0.057815794
804211400023197,zr,58371.31125,15.5094185,0.011241175,0.09422072
804111400018325,zg,58371.34659,15.921207,0.013386537,-0.06342878
804111400018325,zg,58372.28542,15.894881,0.013319157,-0.062059097
804211400023197,zr,58373.3064,15.673546,0.01150816,0.09634274
804111400018325,zg,58374.28626,15.922415,0.01338966,-0.058021046
804111400018325,zg,58375.30507,15.919706,0.013382659,-0.05594853
804111400018325,zg,58376.30656,15.920715,0.013385265,-0.08359558
804211400023197,zr,58377.29314,15.751743,0.011650595,0.08949983
1837202300010758,zr,58378.26853,15.511344,0.011207867,0.06741257
804211400023197,zr,58378.28732,15.494775,0.011219299,0.095589094
804111400018325,zg,58378.32861,15.903326,0.013340626,-0.04140992
1837202300010758,zr,58379.27144,15.552131,0.011255359,0.053621307
804211400023197,zr,58379.30472,15.5000515,0.011227149,0.091412656
1837202300010758,zr,58380.29307,15.495009,0.011189539,0.078747936
804111400018325,zg,58380.34945,15.927538,0.013402939,-0.10764939
1837102300007536,zg,58381.24838,16.826939,0.018075721,-0.09768696
1837102300007536,zg,58383.25134,15.969019,0.015227636,-0.091878325
804111400018325,zg,58383.43028,15.923394,0.013392194,-0.025752705
1837102300007536,zg,58384.2857,15.92855,0.015145736,-0.10305442
804111400018325,zg,58386.17962,15.91622,0.013373668,-0.06981025
804111400018325,zg,58387.28674,15.9025545,0.013338659,-0.042684134
804211400023197,zr,58387.4292,15.5046015,0.011233947,0.088789664
804211400023197,zr,58388.25755,15.481826,0.011200206,0.09120098
804111400018325,zg,58388.32033,15.890964,0.013309245,-0.03918535
1837102300007536,zg,58389.36641,15.935327,0.015159204,-0.10565192
804211400023197,zr,58390.19511,15.4829445,0.011201846,0.09282406
1837102300007536,zg,58390.37329,15.948031,0.015184718,-0.116547525
804211400023197,zr,58400.21765,15.484793,0.011204562,0.090805896
804111400018325,zg,58400.26662,15.920762,0.013385385,-0.088788986
804111400018325,zg,58428.18438,15.898178,0.013327523,-0.05435608
