+0.0889325 15.43900 2447773.48700
+0.3218489 15.31620 2445644.31200
+0.2198726 15.51360 2445646.26700
+0.9988623 15.37740 2445647.31700
+0.1490592 15.37050 2445647.35000
+0.1069901 15.37130 2445663.16000
+0.2571869 15.40880 2445663.19300
+0.6604181 15.41350 2445665.25900
+0.2664539 15.39100 2445666.27100
+0.2226623 15.34580 2445674.17100
+0.7751482 15.37010 2445695.16500
+0.3287086 15.42140 2445882.48100
+0.6781840 15.48030 2445888.49000
+0.4090366 15.34480 2445913.47800
+0.9559039 15.40820 2445914.47700
+0.4162943 15.37470 2445915.45700
+0.4210100 15.31330 2445918.53400
+0.8413405 15.39770 2445936.42300
+0.9543064 15.35810 2445945.45600
+0.1090546 15.46700 2445945.49000
+0.3600798 15.31820 2445946.42400
+0.2255464 15.28290 2445947.49300
+0.7678624 15.33330 2445948.49100
+0.3238326 15.50170 2445949.49200
+0.7680682 15.31650 2445964.53000
+0.6549798 15.40130 2445965.38400
+0.3235875 15.39870 2445969.26600
+0.6467383 15.37500 2445969.33700
+0.7969351 15.45340 2445969.37000
+0.9471319 15.31550 2445969.40300
+0.0973287 15.29260 2445969.43600
+0.2429742 15.33880 2445969.46800
+0.3977224 15.41450 2445969.50200
+0.5433677 15.46060 2445969.53400
+0.6935646 15.44760 2445969.56700
+0.8972305 15.38420 2445972.46800
+0.8862826 15.39160 2445974.44300
+0.2605268 15.58880 2446030.33200
+0.5182793 15.40020 2446084.21800
+0.6404387 15.31460 2446265.50700
+0.1000928 15.58730 2446301.42100
+0.2704237 15.36030 2446325.40700
+0.8263940 15.30860 2446326.40800
+0.4760988 15.40010 2446329.40700
+0.2725163 15.34070 2446352.43200
+0.6064924 15.39960 2446360.41500
+0.4873776 15.32510 2446382.36000
+0.3800719 15.68550 2446406.28500
+0.3782269 15.50730 2446408.26200
+0.1580778 15.33370 2446413.26700
+0.1477157 15.25370 2446645.50000
+0.4380227 15.29280 2446651.49600
+0.1605503 15.40480 2446654.51100
+0.0813311 15.41590 2446656.47100
+0.7083206 15.76420 2446672.42800
+0.1087230 15.36540 2446682.40300
+0.4246992 15.41440 2446706.42100
+0.0835070 15.41960 2446709.42200
+0.6512864 15.44810 2446712.40300
+0.8269467 15.36350 2446714.41900
+0.1808510 15.32120 2446730.31600
+0.0381595 15.38770 2446761.26400
+0.7359208 15.66770 2446763.17500
+0.6932771 15.74800 2446768.21900
+0.0098808 15.43720 2447035.45800
+0.7598811 15.38940 2447041.55500
+0.0000000 15.22810 2447057.42700
+0.0072578 15.26660 2447059.40600
+0.0711418 15.47450 2447062.49600
+0.0629002 15.28270 2447066.44900
+0.2703396 15.45190 2447091.32200
+0.1502546 15.32030 2447387.46700
+0.0801382 15.29900 2447389.42900
+0.5088329 15.43500 2447393.47800
+0.3385853 15.37910 2447395.41800
+0.3321888 15.45370 2447397.39400
+0.5780071 15.61600 2447410.41100
+0.1941712 15.75680 2447418.45600
+0.2676910 15.39870 2447419.35100
+0.1968775 15.67590 2447420.43400
+0.8491246 15.29790 2447422.33500
+0.5390952 15.60060 2447424.46400
+0.4324450 15.37340 2447436.30500
+0.8866031 15.42730 2447442.33700
+0.5417207 15.46920 2447449.29200
+0.5589843 15.36450 2447468.19100
+0.6765016 15.39330 2447477.22500
+0.4409085 15.28010 2447765.43500
+0.4793291 15.32180 2447766.54200
+0.4738908 15.32750 2445642.36800
+0.1835702 15.68980 2447792.40300
+0.5466999 15.48910 2447798.41500
+0.8388520 15.38200 2447802.43400
+0.1747148 15.36440 2447821.40300
+0.6314151 15.39860 2447826.33700
+0.1047627 15.41820 2447826.44100
+0.1026309 15.42730 2447835.22900
+0.4779328 15.35350 2448532.23700
+0.5572073 15.38250 2448811.50800
+0.1479455 15.39480 2450365.43900
+0.9603536 15.30190 2450371.33000
-0.0011377 15.37740 2445647.31700
-0.3395819 15.41350 2445665.25900
-0.2248518 15.37010 2445695.16500
-0.3218160 15.48030 2445888.49000
-0.0440961 15.40820 2445914.47700
-0.1586595 15.39770 2445936.42300
-0.0456936 15.35810 2445945.45600
-0.2321376 15.33330 2445948.49100
-0.2319318 15.31650 2445964.53000
-0.3450202 15.40130 2445965.38400
-0.3532617 15.37500 2445969.33700
-0.2030649 15.45340 2445969.37000
-0.0528681 15.31550 2445969.40300
-0.4566323 15.46060 2445969.53400
-0.3064354 15.44760 2445969.56700
-0.1027695 15.38420 2445972.46800
-0.1137174 15.39160 2445974.44300
-0.4817207 15.40020 2446084.21800
-0.3595613 15.31460 2446265.50700
-0.1736060 15.30860 2446326.40800
-0.3935076 15.39960 2446360.41500
-0.2916794 15.76420 2446672.42800
-0.3487136 15.44810 2446712.40300
-0.1730533 15.36350 2446714.41900
-0.2640792 15.66770 2446763.17500
-0.3067229 15.74800 2446768.21900
-0.2401189 15.38940 2447041.55500
-0.4911671 15.43500 2447393.47800
-0.4219929 15.61600 2447410.41100
-0.1508754 15.29790 2447422.33500
-0.4609048 15.60060 2447424.46400
-0.1133969 15.42730 2447442.33700
-0.4582793 15.46920 2447449.29200
-0.4410157 15.36450 2447468.19100
-0.3234984 15.39330 2447477.22500
-0.4533001 15.48910 2447798.41500
-0.1611480 15.38200 2447802.43400
-0.3685849 15.39860 2447826.33700
-0.4427927 15.38250 2448811.50800
-0.0396464 15.30190 2450371.33000
