2447765.43500 14.77510
2445644.31200 14.93510
2445646.26700 14.94550
2445647.31700 14.89030
2445647.35000 14.85940
2445663.16000 15.08730
2445663.19300 14.96190
2445665.25900 14.97600
2445666.27100 14.96730
2445695.16500 14.93140
2445882.48100 15.04080
2445888.49000 14.91790
2445908.42100 15.14480
2445913.47800 14.95500
2445914.47700 14.88310
2445915.45700 14.99260
2445918.53400 14.89980
2445945.45600 14.94420
2445945.49000 15.02650
2445946.42400 14.94040
2445969.50200 14.92130
2445969.53400 15.05890
2445972.46800 14.91940
2446084.21800 15.11130
2446297.38700 15.05700
2446301.42100 15.09480
2446304.43700 14.97290
2446326.40800 14.95550
2446360.41500 15.12170
2446413.26700 14.97330
2446645.50000 14.99530
2446654.51100 14.91190
2446656.47100 14.87680
2446682.40300 15.03350
2446709.42200 14.91960
2446712.40300 15.08770
2446714.41900 15.02470
2446769.21000 15.02910
2447041.55500 14.88890
2447057.42700 14.93870
2447059.40600 14.95410
2447062.49600 14.94350
2447066.44900 14.98280
2447091.32200 14.93850
2447395.41800 14.85870
2447396.38200 14.90130
2447419.35100 14.92100
2447420.43400 15.02370
2447422.33500 14.85770
2447424.46400 14.98810
2447442.33700 14.83500
2447468.19100 15.01680
2447792.40300 14.90360
2447802.43400 14.98930
2447826.44100 14.87960
2447835.22900 14.92940
2447851.24300 14.90550
2450365.43900 14.93450
